0,0,Piano
0,6,Chromatic Perc
0,16,Organ
0,24,Guitar
0,32,Bass
0,40,Strings
0,56,Brass
0,64,Reed/Pipe
0,80,Synth Lead
0,88,Synth Pad
0,104,Ethnic
0,112,Percussion
0,120,GM Extra
1,17,GS Extra 1
8,4,GS Extra 2
126,0,XG Extra
128,0,Drum Kit
